model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh,fn_factor,tp_factor
QUANT,0,10,4.647115488265807,-1.5828571428571425,0.8636363636363636,0.9047619047619048,0.9999988033009746,0.8837209302325582,0.9523803540314397,0.430775563538199,0.287183709025466,6.963625,0.5,0,0
QUANT,0,10,4.739712741284088,-1.6304761904761902,0.8260869565217391,0.9047619047619048,0.9999984044012995,0.8636363636363636,0.9523801545816022,0.574367418050932,0.287183709025466,6.963619444444444,0.4646464646464647,1,1
QUANT,0,10,4.70161098741083,-3.63047619047619,0.84,1.0,0.9999984044012995,0.9130434782608695,0.9999992022006498,0.574367418050932,0.0,6.963636111111111,0.4040404040404041,1,2
QUANT,0,10,4.642546071317938,-3.63047619047619,0.84,1.0,0.9999984044012995,0.9130434782608695,0.9999992022006498,0.574367418050932,0.0,6.963636111111111,0.4040404040404041,1,3
QUANT,0,10,4.630256956349828,-3.63047619047619,0.84,1.0,0.9999984044012995,0.9130434782608695,0.9999992022006498,0.574367418050932,0.0,6.963636111111111,0.4040404040404041,1,4
QUANT,0,10,4.650527714518416,-3.63047619047619,0.84,1.0,0.9999984044012995,0.9130434782608695,0.9999992022006498,0.574367418050932,0.0,6.963636111111111,0.4040404040404041,2,1
QUANT,0,10,4.629038834025205,-3.63047619047619,0.84,1.0,0.9999984044012995,0.9130434782608695,0.9999992022006498,0.574367418050932,0.0,6.963636111111111,0.4040404040404041,2,2
QUANT,0,10,4.679759816607983,-3.63047619047619,0.84,1.0,0.9999984044012995,0.9130434782608695,0.9999992022006498,0.574367418050932,0.0,6.963636111111111,0.4040404040404041,2,3
QUANT,0,10,4.66436337154092,-5.820952380952381,0.6,1.0,0.9999944154045481,0.75,0.9999972077022741,2.010285963178262,0.0,6.963580555555556,0.27272727272727276,2,4
QUANT,0,10,4.660153477253587,-3.63047619047619,0.84,1.0,0.9999984044012995,0.9130434782608695,0.9999992022006498,0.574367418050932,0.0,6.963636111111111,0.4040404040404041,3,1
QUANT,0,10,4.6547029827937845,-3.63047619047619,0.84,1.0,0.9999984044012995,0.9130434782608695,0.9999992022006498,0.574367418050932,0.0,6.963636111111111,0.4040404040404041,3,2
QUANT,0,10,4.65807720887601,-5.820952380952381,0.6,1.0,0.9999944154045481,0.75,0.9999972077022741,2.010285963178262,0.0,6.963580555555556,0.27272727272727276,3,3
QUANT,0,10,4.7525424991543535,-5.820952380952381,0.6,1.0,0.9999944154045481,0.75,0.9999972077022741,2.010285963178262,0.0,6.963580555555556,0.27272727272727276,3,4
QUANT,0,10,4.6312964359654405,-3.63047619047619,0.84,1.0,0.9999984044012995,0.9130434782608695,0.9999992022006498,0.574367418050932,0.0,6.963636111111111,0.4040404040404041,4,1
QUANT,0,10,4.633972461064797,-5.820952380952381,0.6,1.0,0.9999944154045481,0.75,0.9999972077022741,2.010285963178262,0.0,6.963580555555556,0.27272727272727276,4,2
QUANT,0,10,4.730433862391845,-5.820952380952381,0.6,1.0,0.9999944154045481,0.75,0.9999972077022741,2.010285963178262,0.0,6.963580555555556,0.27272727272727276,4,3
QUANT,0,10,4.642905451776406,-5.868571428571428,0.6,1.0,0.9999944154045481,0.75,0.9999972077022741,2.010285963178262,0.0,6.963580555555556,0.26262626262626265,4,4
