model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g,tolerance
QUANT,7,4.205493849278144,0.9545449494696957,0.88,0.9090909090909091,0.9999989898484823,0.8943089430894309,0.3636333333508003,0.27272500001893935,-0.9393939393939394,0.001000125720726579,0
QUANT,7,4.2043097135364045,0.9545449494696957,0.88,0.9090909090909091,0.9999989898484823,0.8943089430894309,0.3636333333508003,0.27272500001893935,0.8787878787878788,0.001000125720726579,20
QUANT,7,4.196430045161001,0.9545449494696957,0.88,0.9090909090909091,0.9999989898484823,0.8943089430894309,0.3636333333508003,0.27272500001893935,2.696969696969697,0.001000125720726579,40
QUANT,7,4.200870554192525,0.9545449494696957,0.88,0.9090909090909091,0.9999989898484823,0.8943089430894309,0.3636333333508003,0.27272500001893935,4.515151515151516,0.001000125720726579,60
QUANT,7,4.205597163134806,0.9545450757386353,0.91,0.9090909090909091,0.9999992423863617,0.9095452273863068,0.27272500002309163,0.27272500001893935,6.333333333333333,0.0010001261416195371,80
QUANT,7,4.2002268293933245,0.9545450757386353,0.91,0.9090909090909091,0.9999992423863617,0.9095452273863068,0.27272500002309163,0.27272500001893935,8.151515151515152,0.0010001261416195371,100
QUANT,7,4.196656540923683,0.9545450757386353,0.91,0.9090909090909091,0.9999992423863617,0.9095452273863068,0.27272500002309163,0.27272500001893935,9.969696969696969,0.0010001261416195371,120
QUANT,7,4.203201076382225,0.9545450757386353,0.91,0.9090909090909091,0.9999992423863617,0.9095452273863068,0.27272500002309163,0.27272500001893935,11.787878787878787,0.0010001261416195371,140
QUANT,7,4.2008904222418835,0.9545452020075751,0.94,0.9090909090909091,0.9999994949242411,0.9242871189773844,0.18181666669538302,0.27272500001893935,13.606060606060606,0.0010001265625124952,160
QUANT,7,4.191218655814383,0.9545452020075751,0.94,0.9090909090909091,0.9999994949242411,0.9242871189773844,0.18181666669538302,0.27272500001893935,15.424242424242424,0.0010001265625124952,180
QUANT,7,4.202634836975521,0.9545452020075751,0.94,0.9090909090909091,0.9999994949242411,0.9242871189773844,0.18181666669538302,0.27272500001893935,17.242424242424242,0.0010001265625124952,200
QUANT,7,4.209119768285989,0.9545452020075751,0.94,0.9090909090909091,0.9999994949242411,0.9242871189773844,0.18181666669538302,0.27272500001893935,19.060606060606062,0.0010001265625124952,220
QUANT,7,4.197240661574809,0.9545452020075751,0.94,0.9090909090909091,0.9999994949242411,0.9242871189773844,0.18181666669538302,0.27272500001893935,20.87878787878788,0.0010001265625124952,240
QUANT,7,4.1948107991383194,0.9545452020075751,0.94,0.9090909090909091,0.9999994949242411,0.9242871189773844,0.18181666669538302,0.27272500001893935,22.696969696969695,0.0010001265625124952,260
QUANT,7,4.203507044342339,0.9545452020075751,0.94,0.9090909090909091,0.9999994949242411,0.9242871189773844,0.18181666669538302,0.27272500001893935,24.515151515151516,0.0010001265625124952,280
